Location (.bgm),Location (.dat),Folder,PC Number,PlayStation2 Name,Description,Custom Order
kh1_second,kh1_first,remastered\amusic,110,Dearly Beloved,Title,
kh1_first,,remastered\amusic,132,Dive Into The Heart -Destati- (Parts 1-8),Tutorial,
kh1_first,,remastered\amusic,142,Dive Into The Heart -Destati- (Part 9),Cutscene,
,kh1_first,remastered\amusic,105,Destiny Islands,Destiny Islands Field,
,kh1_first,remastered\amusic,119,Busting Up On The Beach,Destiny Islands Battle,
kh1_first,kh1_second,remastered\amusic,143,Mickey Mouse Club March,Cutscene,
kh1_second,,remastered\amusic,182,Mickey Mouse Club March (Short),Cutscene,
kh1_first,,remastered\amusic,178,Treasured Memories,Cutscene,
kh1_first,,remastered\amusic,168,Strange Whispers,Cutscene,
kh1_second,,remastered\amusic,166,Strange Whispers (Previous Version),Cutscene,
kh1_second,,remastered\amusic,167,Strange Whispers (Short Alt 1),Cutscene,
kh1_second,,remastered\amusic,169,Strange Whispers (Short Alt 2),Cutscene,
kh1_second,,remastered\amusic,171,Strange Whispers (Short Alt 3),Cutscene,
kh1_first,,remastered\amusic,160,Kairi I,Cutscene,
kh1_first,,remastered\amusic,188,It Began With A Letter,Cutscene,
kh1_first,,remastered\amusic,172,A Walk In Adante,Cutscene,
,kh1_first,remastered\amusic,131,Night Of Fate,Event Battle,
kh1_first,,remastered\amusic,145,Destiny Force,Boss,
kh1_first,,remastered\amusic,106,Where Is This (Part 1),Cutscene,
kh1_first,,remastered\amusic,107,Where Is This (Part 2),Cutscene,
kh1_first,,remastered\amusic,108,Where Is This (Part 3),Cutscene,
kh1_first,,remastered\amusic,109,Where Is This (Part 4),Cutscene,
,kh1_first,remastered\amusic,104,Traverse Town,Traverse Town Field,
kh1_second,,remastered\amusic,113,The Heartless Has Come (Part 1),Cutscene,
kh1_second,,remastered\amusic,115,The Heartless Has Come (Part 2),Cutscene,
kh1_second,,remastered\amusic,114,The Heartless Has Come (Part 3),Cutscene,
kh1_second,kh1_second,remastered\amusic,111,Shrouding Dark Cloud,Boss,
,kh1_second,remastered\amusic,122,Blast Away Gummi Ship I,Gummi Ship,
kh1_first,,remastered\amusic,189,Blast Away Gummi Ship I (Fakeout),Cutscene,
kh1_first,,remastered\amusic,190,Blast Away Gummi Ship I (Takeoff),Cutscene,
kh1_second,,remastered\amusic,177,Tricksy Clock,Cutscene,
,kh1_second,remastered\amusic,116,Welcome To Wonderland,Wonderland Field,
kh1_second,kh1_second,remastered\amusic,118,To Our Surprise,Wonderland Battle,
kh1_second,,remastered\amusic,126,Turning The Key,Cutscene,
kh1_second,kh1_second,remastered\amusic,103,Olympus Coliseum,Olympus Coliseum Field,
kh1_second,,remastered\amusic,164,Road To Hero,Olympus Coliseum Minigame,
,kh1_second,remastered\amusic,120,Go For It,Olympus Coliseum Battle,
kh1_second,,remastered\amusic,173,No Time To Think,Cutscene,
,kh1_second,remastered\amusic,101,Deep Jungle,Deep Jungle Field,
,kh1_first,remastered\amusic,102,Having a Wild Time,Deep Jungle Battle,
kh1_second,kh1_second,remastered\amusic,157,Holy Bananas,Jungle Slider,
kh1_second,,remastered\amusic,150,Squirming Evil,Boss,
,kh1_second,remastered\amusic,112,Hand In Hand,Traverse Town Battle,
kh1_second,,remastered\amusic,161,Kairi II,Cutscene,
kh1_second,kh1_second,remastered\amusic,184,Merlin Magical House,Cutscene,
,kh1_second,remastered\amusic,141,Winnie The Pooh,100 Acre Wood Field,
kh1_second,,remastered\amusic,158,Bounce-O-Rama,100 Acre Wood Minigame,
kh1_second,,remastered\amusic,187,Just An Itty Bitty Too Much,Cutscene,
kh1_second,,remastered\amusic,159,Once Upon a Time,Cutscene,
,kh1_second,remastered\amusic,124,Shipmeisters Humoresque,Gummi Hangar,
,kh1_second,remastered\amusic,125,Precious Stars In The Sky,World Map,
,kh1_second,remastered\amusic,123,Blast Away Gummi Ship II,Gummi Ship,
,kh1_second,remastered\amusic,127,A Day In Agrabah,Agrabah Field,
,kh1_second,remastered\amusic,128,Arabian Dream,Agrabah Battle,
kh1_second,,remastered\amusic,163,Villains Of A Sort ,Cutscene,
kh1_second,,remastered\amusic,162,Villains Of A Sort (Short),Cutscene,
,kh1_second,remastered\amusic,117,A Very Small Wish,Monstro Field,
,kh1_second,remastered\amusic,121,Monstrous Monstro,Monstro Battle,
kh1_second,,remastered\amusic,176,Friends In My Heart,Cutscene,
,kh1_second,remastered\amusic,140,Under The Sea,Atlantica Field,
,kh1_second,remastered\amusic,147,An Adventure In Atlantica,Atlantica Battle,
kh1_second,,remastered\amusic,170,A Piece Of Peace,Cutscene,
kh1_second,,remastered\amusic,174,An Intense Situation,Cutscene,
kh1_second,,remastered\amusic,151,The Deep End,Boss,
,kh1_second,remastered\amusic,144,This Is Halloween,Halloween Town Field,
kh1_second,,remastered\amusic,165,This Is Halloween (Alternative),Cutscene,
,kh1_second,remastered\amusic,149,Spooks Of Halloween Town,Halloween Town Field,
kh1_second,,remastered\amusic,183,Oopsy-Daisy,Cutscene,
,kh1_second,remastered\amusic,129,Captain Hook Pirate Ship,Neverland Field (Ship),
,kh1_second,remastered\amusic,146,Pirate Gigue,Neverland Battle,
,kh1_second,remastered\amusic,130,Never Land Sky,Neverland Field (Clocktower),
kh1_second,,remastered\amusic,180,Kairi III,Cutscene,
,kh1_second,remastered\amusic,148,Blast Away Gummi Ship III,Gummi Ship,
,kh1_second,remastered\amusic,152,Hollow Bastion,Hollow Bastion Field,
,kh1_second,remastered\amusic,153,Scherzo Di Notte,Hollow Bastion Battle,
kh1_second,,remastered\amusic,185,Forze Del Male,Boss,
kh1_second,,remastered\amusic,181,Hikari (Sora's Sacrifice),Cutscene,
kh1_second,,remastered\amusic,179,Miracle,Cutscene,
kh1_second,,remastered\amusic,196,One Winged Angel,Boss,
,kh1_second,remastered\amusic,154,End Of The World,End Of The World Field,
,kh1_second,remastered\amusic,155,Fragments Of Sorrow,End Of The World Battle,
kh1_second,,remastered\amusic,197,Night On Bald Mountain,Boss,
kh1_second,,remastered\amusic,156,Guardando Nel Buio,Boss,
kh1_second,,remastered\amusic,194,Guardando Nel Buio (No Intro),Boss,
kh1_second,,remastered\amusic,191,Beyond The Door,Cutscene,
kh1_second,,remastered\amusic,192,Always On My Mind,Cutscene,
kh1_second,,remastered\amusic,99,Dissapeared,Boss,
kh1_second,,remastered\amusic,97,Dissapeared (No Intro),Boss,
kh1_second,,remastered\amusic,98,One Winged Angel (No Intro),Boss,
kh1_second,,remastered\amusic,193,Dearly Beloved Reprise,Battle Report,
kh1_second,,remastered\amusic,175,Kairi In Cabin,Cutscene,
kh1_second,,remastered\amusic,186,Plenty Of Hunny,Cutscene,
